asset,period,return%,trades,winrate%,maxDD%,BH%
BTC-USD,W1_older_2025-11-02_2026-03-02,-39.99,45,22.22,-42.82,-37.57
BTC-USD,W2_recent_2026-05-01_2026-08-29,-8.6,36,25.0,-23.37,-1.04
ETH-USD,W1_older_2025-11-02_2026-03-02,-39.17,51,29.41,-44.13,-47.32
ETH-USD,W2_recent_2026-05-01_2026-08-29,-21.36,46,30.43,-35.11,5.59
SOL-USD,W1_older_2025-11-02_2026-03-02,-48.77,58,24.14,-55.8,-52.11
SOL-USD,W2_recent_2026-05-01_2026-08-29,1.68,51,39.22,-27.02,24.26
XRP-USD,W1_older_2025-11-02_2026-03-02,-39.56,61,26.23,-45.19,-44.43
XRP-USD,W2_recent_2026-05-01_2026-08-29,-9.13,61,31.15,-27.88,-0.47
ADA-USD,W1_older_2025-11-02_2026-03-02,-50.72,61,24.59,-50.72,-52.97
ADA-USD,W2_recent_2026-05-01_2026-08-29,-16.06,65,35.38,-27.19,-20.0
LINK-USD,W1_older_2025-11-02_2026-03-02,-61.76,62,17.74,-63.76,-47.62
LINK-USD,W2_recent_2026-05-01_2026-08-29,-2.57,50,36.0,-27.65,22.97

# AGGREGATE
# tests,12
# total_trades,647
# aggregated_winrate%,28.44
# avg_return%,-28.0
# avg_maxDD%,-39.22
# avg_BH%,-20.89
# all_trade_pnls_n,647

# WALK_FORWARD
# best_params,{'weights': {'momentum': 0.25, 'mean_reversion': 0.35, 'breakout': 0.2, 'order_flow': 0.2}, 'buy_threshold': 0.25, 'sell_threshold': -0.35}
# IS,return%=15.17904247230435,trades=14,winrate%=50.0,maxDD%=-9.441683862851239,BH%=14.08142536978687
# OOS,return%=-5.457397188198354,trades=9,winrate%=33.33333333333333,maxDD%=-16.20381179897317,BH%=-11.907903027643506
